※ 안내: 이 결과는 검색량/경쟁정도/계절성만 본 '키워드 후보'입니다. 크무비(부피 200cm·무게 20kg·가격 20만~100만원) 조건은 아직 검증되지 않았습니다. 실제 상품을 찾아 products_template.csv에 입력한 뒤 main.py로 검증하세요. '_추정' 표시 컬럼은 키워드 글자만 보고 규칙으로 추정한 값이며, 실제 치수·판매 데이터가 아닙니다.
키워드,원본시드키워드,월간검색량,PC검색량,모바일검색량,경쟁정도,목표월들,계절성_변동계수,계절성_최고월,계절성_최저월,계절성조회상태,8월_계절지수_추정,8월_예상검색량_추정,9월_계절지수_추정,9월_예상검색량_추정,10월_계절지수_추정,10월_예상검색량_추정,계절성최적월_추정,계절성최적월지수_추정,검색량점수,경쟁정도점수,계절성점수,총점,카테고리관련성점수_추정,감지카테고리_추정,관련성판단근거_추정,정보성키워드여부_추정,정보성판단근거_추정,브랜드포함여부,매칭브랜드,소형저가가능성_추정,소형저가판단근거_추정,크무비가능성점수_추정,크무비가능성등급_추정,크무비판단근거_추정,실제크기무게확인필요,해외구매대행적합도점수_추정,제외검토사유,중국소싱가능성점수_추정,소싱가능성등급_추정,중국소싱판단근거_추정,중국사이트직접확인필요여부,위험요소_추정,종합위험도등급_추정,데이터신뢰도_추정,최종추천점수_종합,추천등급,추천근거
미니파라솔,파라솔,3550,570,2980,중간,"8,9,10",0.77,6,12,조회 성공,1.75,6212,0.79,2804,0.46,1633,8,1.75,0.6,15.0,7.5,23.1,50,,시드키워드와 문자열이 겹침,아니오,,아니오,,예,소형/경량 연상단어 포함: 미니,30,일반 해외구매대행 상품,소형/경량 연상단어 포함: 미니,예,22.0,,50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),29.4,B,종합점수 29.4점
야외테이블,파라솔,9830,2230,7600,중간,"8,9,10",0.28,5,1,조회 성공,1.19,11698,1.03,10125,0.96,9437,8,1.19,7.3,15.0,1.9,24.2,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,20.0,시드키워드와 관련성 낮음 (추정 0점),50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),29.2,B,종합점수 29.2점
벤치,파라솔,10340,2570,7770,중간,"8,9,10",0.13,9,2,조회 성공,1.1,11374,1.13,11684,1.13,11684,9,1.13,7.8,15.0,1.3,24.1,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,20.0,시드키워드와 관련성 낮음 (추정 0점),50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),29.1,B,종합점수 29.1점
옥상그늘막,파라솔,3480,550,2930,중간,"8,9,10",0.62,6,1,조회 성공,1.56,5429,0.88,3062,0.62,2158,8,1.56,0.5,15.0,5.6,21.1,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,20.0,시드키워드와 관련성 낮음 (추정 0점),50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),27.9,B,종합점수 27.9점
야외의자,파라솔,5680,1180,4500,중간,"8,9,10",0.36,5,12,조회 성공,1.15,6532,1.11,6305,1.02,5794,8,1.15,2.9,15.0,1.5,19.4,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,20.0,시드키워드와 관련성 낮음 (추정 0점),50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),27.3,B,종합점수 27.3점
원터치그늘막,파라솔,13990,2190,11800,높음,"8,9,10",0.82,6,12,조회 성공,1.76,24622,0.79,11052,0.56,7834,8,1.76,11.7,0.0,7.6,19.3,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,20.0,시드키워드와 관련성 낮음 (추정 0점),50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),27.2,B,종합점수 27.2점
벤치의자,파라솔,5880,1360,4520,중간,"8,9,10",0.07,8,7,조회 성공,1.1,6468,1.08,6350,1.08,6350,8,1.1,3.1,15.0,1.0,19.1,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,20.0,시드키워드와 관련성 낮음 (추정 0점),50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),27.1,B,종합점수 27.1점
포토존,파라솔,4380,1660,2720,중간,"8,9,10",0.16,3,7,조회 성공,0.96,4205,1.02,4468,1.21,5300,10,1.21,1.5,15.0,2.1,18.6,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,20.0,시드키워드와 관련성 낮음 (추정 0점),50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),26.9,C,종합점수 26.9점
휴대용파라솔,파라솔,6290,1220,5070,높음,"8,9,10",0.99,6,12,조회 성공,2.25,14152,0.77,4843,0.28,1761,8,2.25,3.5,0.0,12.5,16.0,50,,시드키워드와 문자열이 겹침,아니오,,아니오,,예,소형/경량 연상단어 포함: 휴대용,30,일반 해외구매대행 상품,소형/경량 연상단어 포함: 휴대용,예,22.0,,50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),26.6,C,종합점수 26.6점
선쉐이드,파라솔,3960,1010,2950,중간,"8,9,10",,,,데이터랩 API 호출 실패: The read operation timed out,,,,,,,,,1.0,15.0,0.0,16.0,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,20.0,시드키워드와 관련성 낮음 (추정 0점),50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,"중간(검색량만 실측, 계절성 데이터 없음)",25.9,C,종합점수 25.9점
야외테이블세트,파라솔,9920,1630,8290,높음,"8,9,10",0.39,4,1,조회 성공,0.89,8829,1.03,10218,0.88,8730,9,1.03,7.4,0.0,0.3,7.7,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,20.0,시드키워드와 관련성 낮음 (추정 0점),60,소싱 가능성 중간,일반 공산품/범용 소재 연상단어 포함: 세트,예,,위험 낮음,높음(검색량·계절성 모두 실측),25.1,C,종합점수 25.1점
플라스틱의자,파라솔,8560,2310,6250,높음,"8,9,10",,,,데이터랩 API 호출 실패: The read operation timed out,,,,,,,,,5.9,0.0,0.0,5.9,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,20.0,시드키워드와 관련성 낮음 (추정 0점),60,소싱 가능성 중간,일반 공산품/범용 소재 연상단어 포함: 플라스틱,예,,위험 낮음,"중간(검색량만 실측, 계절성 데이터 없음)",24.4,C,종합점수 24.4점
정자,파라솔,10270,1740,8530,높음,"8,9,10",0.14,8,12,조회 성공,1.21,12427,1.13,11605,1.09,11194,8,1.21,7.7,0.0,2.1,9.8,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,20.0,시드키워드와 관련성 낮음 (추정 0점),50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),23.4,C,종합점수 23.4점
타프추천,파라솔,6600,1170,5430,중간,"8,9,10",0.74,6,1,조회 성공,1.84,12144,1.43,9438,1.04,6864,8,1.84,3.8,15.0,8.4,27.2,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),예,정보성 패턴 포함: 추천,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,0,정보성/서비스성 키워드로 추정됨 (상품 키워드 아님) / 시드키워드와 관련성 낮음 (추정 0점),50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),23.4,C,종합점수 23.4점
카페의자,파라솔,7330,1650,5680,높음,"8,9,10",0.09,8,6,조회 성공,1.18,8649,0.98,7183,0.96,7037,8,1.18,4.6,0.0,1.8,6.4,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,20.0,시드키워드와 관련성 낮음 (추정 0점),50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),22.1,C,종합점수 22.1점
라탄의자,파라솔,4370,690,3680,높음,"8,9,10",0.15,8,12,조회 성공,1.31,5725,1.1,4807,0.99,4326,8,1.31,1.5,0.0,3.1,4.6,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,20.0,시드키워드와 관련성 낮음 (추정 0점),50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),21.3,C,종합점수 21.3점
야외벤치,파라솔,5400,1830,3570,높음,"8,9,10",0.3,4,12,조회 성공,0.97,5238,1.04,5616,1.04,5616,9,1.04,2.6,0.0,0.4,3.0,0,,시드키워드와의 연관성을 찾지 못함 (사전에 없는 단어일 수 있음),아니오,,아니오,,아니오,,50,판단 자료 부족,크기/무게를 암시하는 단어가 없어 추정 불가,예,20.0,시드키워드와 관련성 낮음 (추정 0점),50,판단 자료 부족,소싱 가능성을 암시하는 단어가 없어 추정 불가,예,,위험 낮음,높음(검색량·계절성 모두 실측),20.7,C,종합점수 20.7점
